sample_id,coco_id,category,mask_type,tamper_ratio,fake_relpath,real_relpath,mask_relpath,split,used_in_experiment
bed_365387_bbox_2,365387,bed,bbox,0.19986,sd2-sp_validation/bed/365387_mask_bbox.png_ps_mask.png_sd2_2.png,orig_validation/bed/365387_orig.png,masks_validation/bed/365387_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;E4/B4-mirror-fake
bed_385997_bbox_0,385997,bed,bbox,0.06202,sd2-sp_validation/bed/385997_mask_bbox.png_ps_mask.png_sd2_0.png,orig_validation/bed/385997_orig.png,masks_validation/bed/385997_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01
bed_415741_segm_1,415741,bed,segm,0.02565,sd2-sp_validation/bed/415741_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/bed/415741_orig.png,masks_validation/bed/415741_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
bed_41872_bbox_1,41872,bed,bbox,0.14334,sd2-sp_validation/bed/41872_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/bed/41872_orig.png,masks_validation/bed/41872_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
bed_450488_bbox_2,450488,bed,bbox,0.2213,sd2-sp_validation/bed/450488_mask_bbox.png_ps_mask.png_sd2_2.png,orig_validation/bed/450488_orig.png,masks_validation/bed/450488_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
boat_126107_segm_2,126107,boat,segm,0.00641,sd2-sp_validation/boat/126107_mask_segm.png_ps_mask.png_sd2_2.png,orig_validation/boat/126107_orig.png,masks_validation/boat/126107_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real;E4/B4-mirror-fake
boat_144932_segm_0,144932,boat,segm,0.00525,sd2-sp_validation/boat/144932_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/boat/144932_orig.png,masks_validation/boat/144932_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real;E4/B4-mirror-fake
boat_160728_bbox_0,160728,boat,bbox,0.0223,sd2-sp_validation/boat/160728_mask_bbox.png_ps_mask.png_sd2_0.png,orig_validation/boat/160728_orig.png,masks_validation/boat/160728_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
boat_205401_bbox_1,205401,boat,bbox,0.01446,sd2-sp_validation/boat/205401_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/boat/205401_orig.png,masks_validation/boat/205401_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01
boat_230362_segm_1,230362,boat,segm,0.00792,sd2-sp_validation/boat/230362_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/boat/230362_orig.png,masks_validation/boat/230362_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;E4/B4-mirror-fake
boat_257566_segm_0,257566,boat,segm,0.04163,sd2-sp_validation/boat/257566_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/boat/257566_orig.png,masks_validation/boat/257566_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
boat_475904_bbox_1,475904,boat,bbox,0.17578,sd2-sp_validation/boat/475904_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/boat/475904_orig.png,masks_validation/boat/475904_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
boat_502168_bbox_2,502168,boat,bbox,0.26056,sd2-sp_validation/boat/502168_mask_bbox.png_ps_mask.png_sd2_2.png,orig_validation/boat/502168_orig.png,masks_validation/boat/502168_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
boat_503823_segm_0,503823,boat,segm,0.06182,sd2-sp_validation/boat/503823_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/boat/503823_orig.png,masks_validation/boat/503823_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01
boat_513181_bbox_2,513181,boat,bbox,0.04948,sd2-sp_validation/boat/513181_mask_bbox.png_ps_mask.png_sd2_2.png,orig_validation/boat/513181_orig.png,masks_validation/boat/513181_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real;E4/B4-mirror-fake
boat_522393_segm_0,522393,boat,segm,0.02043,sd2-sp_validation/boat/522393_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/boat/522393_orig.png,masks_validation/boat/522393_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
boat_543043_bbox_1,543043,boat,bbox,0.07704,sd2-sp_validation/boat/543043_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/boat/543043_orig.png,masks_validation/boat/543043_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
boat_570448_segm_0,570448,boat,segm,0.0079,sd2-sp_validation/boat/570448_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/boat/570448_orig.png,masks_validation/boat/570448_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01
boat_579635_segm_0,579635,boat,segm,0.00527,sd2-sp_validation/boat/579635_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/boat/579635_orig.png,masks_validation/boat/579635_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01
boat_79837_segm_1,79837,boat,segm,0.0188,sd2-sp_validation/boat/79837_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/boat/79837_orig.png,masks_validation/boat/79837_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
cow_152740_segm_1,152740,cow,segm,0.01285,sd2-sp_validation/cow/152740_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/cow/152740_orig.png,masks_validation/cow/152740_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real;E4/B4-mirror-fake
cow_166287_segm_1,166287,cow,segm,0.01508,sd2-sp_validation/cow/166287_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/cow/166287_orig.png,masks_validation/cow/166287_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
cow_206135_segm_1,206135,cow,segm,0.05169,sd2-sp_validation/cow/206135_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/cow/206135_orig.png,masks_validation/cow/206135_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real;E4/B4-mirror-fake
cow_219440_bbox_2,219440,cow,bbox,0.14641,sd2-sp_validation/cow/219440_mask_bbox.png_ps_mask.png_sd2_2.png,orig_validation/cow/219440_orig.png,masks_validation/cow/219440_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real;E4/B4-mirror-fake
cow_244411_segm_2,244411,cow,segm,0.06914,sd2-sp_validation/cow/244411_mask_segm.png_ps_mask.png_sd2_2.png,orig_validation/cow/244411_orig.png,masks_validation/cow/244411_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
cow_272212_bbox_0,272212,cow,bbox,0.01991,sd2-sp_validation/cow/272212_mask_bbox.png_ps_mask.png_sd2_0.png,orig_validation/cow/272212_orig.png,masks_validation/cow/272212_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
cow_314034_segm_2,314034,cow,segm,0.00894,sd2-sp_validation/cow/314034_mask_segm.png_ps_mask.png_sd2_2.png,orig_validation/cow/314034_orig.png,masks_validation/cow/314034_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
cow_361268_bbox_1,361268,cow,bbox,0.0931,sd2-sp_validation/cow/361268_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/cow/361268_orig.png,masks_validation/cow/361268_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
cow_396205_segm_1,396205,cow,segm,0.01025,sd2-sp_validation/cow/396205_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/cow/396205_orig.png,masks_validation/cow/396205_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
cow_415990_segm_2,415990,cow,segm,0.00877,sd2-sp_validation/cow/415990_mask_segm.png_ps_mask.png_sd2_2.png,orig_validation/cow/415990_orig.png,masks_validation/cow/415990_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
cow_417085_bbox_0,417085,cow,bbox,0.07051,sd2-sp_validation/cow/417085_mask_bbox.png_ps_mask.png_sd2_0.png,orig_validation/cow/417085_orig.png,masks_validation/cow/417085_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
cow_459396_segm_1,459396,cow,segm,0.25743,sd2-sp_validation/cow/459396_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/cow/459396_orig.png,masks_validation/cow/459396_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
cow_52565_bbox_2,52565,cow,bbox,0.21868,sd2-sp_validation/cow/52565_mask_bbox.png_ps_mask.png_sd2_2.png,orig_validation/cow/52565_orig.png,masks_validation/cow/52565_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01
cow_573626_segm_0,573626,cow,segm,0.01111,sd2-sp_validation/cow/573626_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/cow/573626_orig.png,masks_validation/cow/573626_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real
donut_148957_segm_2,148957,donut,segm,0.09034,sd2-sp_validation/donut/148957_mask_segm.png_ps_mask.png_sd2_2.png,orig_validation/donut/148957_orig.png,masks_validation/donut/148957_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
donut_238866_segm_2,238866,donut,segm,0.03924,sd2-sp_validation/donut/238866_mask_segm.png_ps_mask.png_sd2_2.png,orig_validation/donut/238866_orig.png,masks_validation/donut/238866_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
donut_341973_bbox_0,341973,donut,bbox,0.02659,sd2-sp_validation/donut/341973_mask_bbox.png_ps_mask.png_sd2_0.png,orig_validation/donut/341973_orig.png,masks_validation/donut/341973_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
donut_400573_bbox_0,400573,donut,bbox,0.08466,sd2-sp_validation/donut/400573_mask_bbox.png_ps_mask.png_sd2_0.png,orig_validation/donut/400573_orig.png,masks_validation/donut/400573_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
donut_451150_segm_0,451150,donut,segm,0.11626,sd2-sp_validation/donut/451150_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/donut/451150_orig.png,masks_validation/donut/451150_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real;E4/B4-mirror-fake
donut_459662_segm_1,459662,donut,segm,0.03662,sd2-sp_validation/donut/459662_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/donut/459662_orig.png,masks_validation/donut/459662_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real
donut_521601_segm_2,521601,donut,segm,0.08189,sd2-sp_validation/donut/521601_mask_segm.png_ps_mask.png_sd2_2.png,orig_validation/donut/521601_orig.png,masks_validation/donut/521601_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
donut_533855_segm_0,533855,donut,segm,0.1947,sd2-sp_validation/donut/533855_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/donut/533855_orig.png,masks_validation/donut/533855_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
donut_572388_bbox_1,572388,donut,bbox,0.19103,sd2-sp_validation/donut/572388_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/donut/572388_orig.png,masks_validation/donut/572388_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
donut_66926_bbox_0,66926,donut,bbox,0.1707,sd2-sp_validation/donut/66926_mask_bbox.png_ps_mask.png_sd2_0.png,orig_validation/donut/66926_orig.png,masks_validation/donut/66926_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
donut_99810_segm_0,99810,donut,segm,0.0087,sd2-sp_validation/donut/99810_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/donut/99810_orig.png,masks_validation/donut/99810_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
fire hydrant_105912_segm_2,105912,fire hydrant,segm,0.08662,sd2-sp_validation/fire hydrant/105912_mask_segm.png_ps_mask.png_sd2_2.png,orig_validation/fire hydrant/105912_orig.png,masks_validation/fire hydrant/105912_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;E4/B4-mirror-fake
fire hydrant_138550_bbox_1,138550,fire hydrant,bbox,0.08789,sd2-sp_validation/fire hydrant/138550_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/fire hydrant/138550_orig.png,masks_validation/fire hydrant/138550_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
fire hydrant_140556_bbox_1,140556,fire hydrant,bbox,0.08461,sd2-sp_validation/fire hydrant/140556_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/fire hydrant/140556_orig.png,masks_validation/fire hydrant/140556_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
fire hydrant_266082_bbox_1,266082,fire hydrant,bbox,0.20515,sd2-sp_validation/fire hydrant/266082_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/fire hydrant/266082_orig.png,masks_validation/fire hydrant/266082_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
fire hydrant_273198_segm_1,273198,fire hydrant,segm,0.03027,sd2-sp_validation/fire hydrant/273198_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/fire hydrant/273198_orig.png,masks_validation/fire hydrant/273198_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
fire hydrant_28993_segm_1,28993,fire hydrant,segm,0.13083,sd2-sp_validation/fire hydrant/28993_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/fire hydrant/28993_orig.png,masks_validation/fire hydrant/28993_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
fire hydrant_293474_segm_0,293474,fire hydrant,segm,0.03325,sd2-sp_validation/fire hydrant/293474_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/fire hydrant/293474_orig.png,masks_validation/fire hydrant/293474_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real
fire hydrant_343315_segm_2,343315,fire hydrant,segm,0.01634,sd2-sp_validation/fire hydrant/343315_mask_segm.png_ps_mask.png_sd2_2.png,orig_validation/fire hydrant/343315_orig.png,masks_validation/fire hydrant/343315_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
fire hydrant_366178_bbox_0,366178,fire hydrant,bbox,0.02043,sd2-sp_validation/fire hydrant/366178_mask_bbox.png_ps_mask.png_sd2_0.png,orig_validation/fire hydrant/366178_orig.png,masks_validation/fire hydrant/366178_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real
fire hydrant_373705_segm_2,373705,fire hydrant,segm,0.10637,sd2-sp_validation/fire hydrant/373705_mask_segm.png_ps_mask.png_sd2_2.png,orig_validation/fire hydrant/373705_orig.png,masks_validation/fire hydrant/373705_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
fire hydrant_38048_bbox_1,38048,fire hydrant,bbox,0.07082,sd2-sp_validation/fire hydrant/38048_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/fire hydrant/38048_orig.png,masks_validation/fire hydrant/38048_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
fire hydrant_384616_bbox_1,384616,fire hydrant,bbox,0.07621,sd2-sp_validation/fire hydrant/384616_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/fire hydrant/384616_orig.png,masks_validation/fire hydrant/384616_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
fire hydrant_390301_segm_0,390301,fire hydrant,segm,0.06482,sd2-sp_validation/fire hydrant/390301_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/fire hydrant/390301_orig.png,masks_validation/fire hydrant/390301_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
fire hydrant_427500_segm_2,427500,fire hydrant,segm,0.06602,sd2-sp_validation/fire hydrant/427500_mask_segm.png_ps_mask.png_sd2_2.png,orig_validation/fire hydrant/427500_orig.png,masks_validation/fire hydrant/427500_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
fire hydrant_79034_segm_1,79034,fire hydrant,segm,0.0627,sd2-sp_validation/fire hydrant/79034_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/fire hydrant/79034_orig.png,masks_validation/fire hydrant/79034_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
fire hydrant_87875_bbox_0,87875,fire hydrant,bbox,0.16302,sd2-sp_validation/fire hydrant/87875_mask_bbox.png_ps_mask.png_sd2_0.png,orig_validation/fire hydrant/87875_orig.png,masks_validation/fire hydrant/87875_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real
giraffe_186637_bbox_1,186637,giraffe,bbox,0.24948,sd2-sp_validation/giraffe/186637_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/giraffe/186637_orig.png,masks_validation/giraffe/186637_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01
giraffe_22969_segm_1,22969,giraffe,segm,0.03036,sd2-sp_validation/giraffe/22969_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/giraffe/22969_orig.png,masks_validation/giraffe/22969_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
giraffe_235252_bbox_1,235252,giraffe,bbox,0.05063,sd2-sp_validation/giraffe/235252_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/giraffe/235252_orig.png,masks_validation/giraffe/235252_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
giraffe_259382_bbox_1,259382,giraffe,bbox,0.22492,sd2-sp_validation/giraffe/259382_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/giraffe/259382_orig.png,masks_validation/giraffe/259382_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real
giraffe_284296_bbox_2,284296,giraffe,bbox,0.05174,sd2-sp_validation/giraffe/284296_mask_bbox.png_ps_mask.png_sd2_2.png,orig_validation/giraffe/284296_orig.png,masks_validation/giraffe/284296_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real;E4/B4-mirror-fake
giraffe_286849_segm_0,286849,giraffe,segm,0.04799,sd2-sp_validation/giraffe/286849_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/giraffe/286849_orig.png,masks_validation/giraffe/286849_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real
giraffe_287545_segm_0,287545,giraffe,segm,0.01408,sd2-sp_validation/giraffe/287545_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/giraffe/287545_orig.png,masks_validation/giraffe/287545_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real
giraffe_296317_segm_1,296317,giraffe,segm,0.00471,sd2-sp_validation/giraffe/296317_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/giraffe/296317_orig.png,masks_validation/giraffe/296317_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
giraffe_33707_segm_1,33707,giraffe,segm,0.08687,sd2-sp_validation/giraffe/33707_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/giraffe/33707_orig.png,masks_validation/giraffe/33707_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real
giraffe_344059_segm_1,344059,giraffe,segm,0.11024,sd2-sp_validation/giraffe/344059_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/giraffe/344059_orig.png,masks_validation/giraffe/344059_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real
giraffe_345261_segm_2,345261,giraffe,segm,0.02638,sd2-sp_validation/giraffe/345261_mask_segm.png_ps_mask.png_sd2_2.png,orig_validation/giraffe/345261_orig.png,masks_validation/giraffe/345261_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01
giraffe_383676_segm_2,383676,giraffe,segm,0.06092,sd2-sp_validation/giraffe/383676_mask_segm.png_ps_mask.png_sd2_2.png,orig_validation/giraffe/383676_orig.png,masks_validation/giraffe/383676_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
giraffe_393282_bbox_2,393282,giraffe,bbox,0.10953,sd2-sp_validation/giraffe/393282_mask_bbox.png_ps_mask.png_sd2_2.png,orig_validation/giraffe/393282_orig.png,masks_validation/giraffe/393282_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real
giraffe_394611_bbox_2,394611,giraffe,bbox,0.01981,sd2-sp_validation/giraffe/394611_mask_bbox.png_ps_mask.png_sd2_2.png,orig_validation/giraffe/394611_orig.png,masks_validation/giraffe/394611_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real
giraffe_459757_segm_0,459757,giraffe,segm,0.02387,sd2-sp_validation/giraffe/459757_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/giraffe/459757_orig.png,masks_validation/giraffe/459757_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
giraffe_471567_bbox_2,471567,giraffe,bbox,0.2097,sd2-sp_validation/giraffe/471567_mask_bbox.png_ps_mask.png_sd2_2.png,orig_validation/giraffe/471567_orig.png,masks_validation/giraffe/471567_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
giraffe_504580_segm_2,504580,giraffe,segm,0.02737,sd2-sp_validation/giraffe/504580_mask_segm.png_ps_mask.png_sd2_2.png,orig_validation/giraffe/504580_orig.png,masks_validation/giraffe/504580_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;E4/B4-mirror-fake
giraffe_525600_segm_0,525600,giraffe,segm,0.02094,sd2-sp_validation/giraffe/525600_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/giraffe/525600_orig.png,masks_validation/giraffe/525600_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
giraffe_528862_segm_0,528862,giraffe,segm,0.01068,sd2-sp_validation/giraffe/528862_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/giraffe/528862_orig.png,masks_validation/giraffe/528862_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
giraffe_563603_segm_1,563603,giraffe,segm,0.01794,sd2-sp_validation/giraffe/563603_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/giraffe/563603_orig.png,masks_validation/giraffe/563603_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
